job_id,business_title,category,processed_text
401521,Human Resources Generalist,1,human resource generalist deputy director human human resource generalist responsible following responsibility include limited serve personnel action pa audit reviewer monitor pa initial stage implementation ensure action accurately timely manner handle staff update distribute internal report action track new hire timely information sign quality assurance check new hire transfer well internal personnel action serve financial disclosure liaison based filing criterion file conflict interest board department investigation disclosure report annual financial disclosure filing filer distribute public correspondence staff notice monthly puzzler related material serve blood program well liaison department administrative service following year association award program handle verification employment monthly notification separation internal report showing personnel change audit received human resource unit directive oversight agency internal audit request perform special project
424782,Deputy Chief of Workforce Development,1,deputy chief development direction chief development degree latitude independent initiative judgment decision making monitor analyze improve effectiveness efficiency development unit manage development facility agency external vendor design execute construction project equipment implementation manage basic training center center staff establish training priority develop project queen throughout new york city conjunction agency initiative oversee p expenditure manage procurement inventory disbursement development program establish plan agency pop worker monitor weekly designate schedule identify resolve process internal issue park budget personnel labor relation payroll accounting communicate human resource administration execute plan ensure target met timely fashion supervise staff directed chief build relationship internal external stakeholder support mission activity
417285,Information Representative,1,information representative city new office administrative trial hearing oath administrative tribunal holding approximately trial hearing year oath seek hire information representative work office hearing division information representative work immediate supervision interact member community find oath need information proceed candidate provide case information well information assistance member community oath case case basis representative also address investigate attempt resolve complaint respondent appear oath well create solution prevent similar problem future possible help identify systemic issue make recommendation improve practice procedure responsibility include limited significant contact general public improve communication member public oath agency explain case procedure assist preparation filing case material resolution complaint ensure accurate information provided member community summons understand need assist aspect case efficiently member public appear hearing public timely access justice help respondent complete submit various form may tribunal default respond public inquiry information window telephone perform routine office task filing keeping record
425062,Deputy Chief of Recreation,1,deputy chief recreation major responsibility work borough chief recreation plan organize borough recreation program special event manage direct borough recreation staff providing leadership guidance monitor time leave usage borough recreation employee conduct regular inspection ensure program project policy serve liaison public private organization procure donation sponsorship support marketing special event assist borough chief recreation implementation capital requirement workplace physical improvement project lead borough office accurate data form financial information meet internal deadline analyze long need borough regard maintenance advise borough chief recreation prepare marketing publicity material brochure annual report flyer grant application track center membership membership deposit
396521,"Deputy Commissioner, Bureau of Customer Services",1,deputy commissioner bureau customer service new york city department environmental protection public health environment clean drinking water treating reducing air noise hazardous material pollution combined municipal water utility country nearly employee every day deliver billion gallon high quality drinking water million new york city resident million people upstate new york collect treat average billion gallon bureau customer service production collection water sewer bill along work maintain network meter meter reading device employee directly serve customer generate nearly billion revenue annually lead bureau seek dynamic executive serve deputy commissioner chief financial officer selected candidate responsible bureau activity related use sale water new york city water supply system selected candidate also take lead revenue collection matter water board municipal water finance authority office well agency oversight entity addition selected candidate oversee complete overhaul modernization billing system million project recently addition deputy commissioner manage activity employee consultant contractor develop implement new policy improve customer experience advise commissioner chief financial officer city government official matter pertaining bureau oversee aggressive program replace large meter work department finance renew authorization sell lien delinquent account design implement improvement meter reading system conduct revenue analysis support rate modeling inform policy revenue collection oversee monitor customer appeal
421311,Police Administrative Aide,1,police administrative aide supervision latitude independent action initiative decision position perform responsible difficult clerical word data entry task perform administrative work moderate difficulty handling confidential information material refer member public ask assistance appropriate city agency utilize manual office system type record report form schedule review verify written information receive send separate distribute mail obtain transmit information public department personnel occasionally perform cashier messenger duty perform related work
426238,Administrative Associate,1,administrative associate overseen office manager administrative specialist responsible serving receiver inquiry communication complaint public department staff via telephone person intake case file relevant data drafting summary complaint information report received via telephone mail review manager telephone call providing prompt courteous customer service information complaint appropriate staff member department unit city agency discrete efficient manner various report various computer application providing administrative support employee unit supply foil request issue employee service asset management new staff orderly storage file case record calendar visitor appointment logging mail staff accordingly filing document daily clerical function undertaking special project task assigned director
391317,Agency Security Director,1,agency security director new york city law department seeking agency security director administration division deputy chief administration candidate responsible following act security access officer system primary responsibility security person agency premise disruption public visitor employee responsible security video appropriate personnel unusual relevant security record responsible internal agency security related investigation assist preparation budget request bid solicitation procurement agency security program security service contract responsible security staff agency staff visitor agency unplanned investigation workplace violence threat agency agent agency well fraud prevention measure responsible issuance agency id card ensure system maintenance adequate inventory maintenance responsible finger reader access nonagency personnel appropriate approval work ensure hand reader system record time accurately limited daylight saving time adjustment responsible agency hand reader finger reader maintenance replacement hardware make request chief deputy chief administration new reader security staff contracted private security service th floor security receptionist interface building management personnel office location regarding security issue consultation advice regarding safety security agency manager fire extinguisher current work facility unit ensure building management elevator regularly emergency evacuation chair people disability injury working order easily retrievable conduct separate drill ensure appropriate staff know properly use emergency evacuation chair interest meeting regarding security system implementation building management example limited turnstile scrambler system formulation agency security policy procedure strategy program implement response plan continuity operation plan coop ongoing modification plan responsible schedule agency evacuation drill fire drill office location report success failure drill chief deputy chief administration emergency evacuation medical fire police responder create security training requirement security personnel law department meeting regarding coop coastal storm plan operation security matter limited city agency emergency service agency security procedure plan activity security function effort activity city agency emergency situation security law enforcement staff civil disturbance within agency facility agency administrator law emergency notification system
389181,Housing Assistant,1,housing assistant assist resolution tenancy problem respond complaint collect rent rent interview resident investigate verify information inform tenant housing authority rule regulation requirement perform income employment verification purpose rent determination conduct field visit rent visit regarding housekeeping condition survey perform rental complete review perform case review process lease rent change attend administrative hearing make court appearance note assignment made throughout five borough note department administrative service process civil service exam housing assistant title filing period end candidate apply take exam jeopardy eligible upcoming civil service list note appointment position rule b temporary appointment exceed month note position open qualified person disability eligible program please indicate cover letter would like considered position program detailed information regarding program visit link please read posting carefully make certain meet minimum qualification requirement position
425397,Police Administrative Aide,1,police administrative aide supervision latitude independent action initiative decision position perform responsible difficult clerical word data entry task perform administrative work moderate difficulty handling confidential information material refer member public ask assistance appropriate city agency utilize manual office system type record report form schedule review verify written information receive send separate distribute mail obtain transmit information public department personnel occasionally perform cashier messenger duty perform related work
